# Hudaverdi, Kulatilake and Kuzu (2010), Int. J. Numer. Anal. Meth. Geomech. 35:1318-1333,
# doi:10.1002/nag.957, Tables I and II. 97 open-pit and underground bench blasts from ten sites.
# Columns are the seven dimensionless model inputs plus the measured mean fragment size.
# S_over_B spacing/burden - H_over_B bench height/burden - B_over_D burden/hole diameter
# T_over_B stemming/burden - Pf_kg_m3 powder factor - XB_m in situ block size - E_GPa Young modulus
# x50_m measured mean particle size, metres. group 1 = high modulus (35), group 2 = low modulus (62).
# Numeric values are experimental facts reused with citation; the source PDF is not redistributed.
# CORRECTED 2026-09-09 against the published tables, five transcription defects:
#   Db5 Pf 0.33 -> 0.39 - Sm4 x50 0.24 -> 0.22 - Ad15 x50 0.22 -> 0.15
#   Ad17 Pf 1.07 -> 1.24 - Ad19 Pf 1.47 -> 1.26 (the row's own XB had been copied into Pf)
# The tell was the source paper's own descriptive statistics, which give a Pf maximum of 1.26.
blast_id,site,group,S_over_B,H_over_B,B_over_D,T_over_B,Pf_kg_m3,XB_m,E_GPa,x50_m
Mg6,Murgul,1,1.10,2.40,30.30,0.80,0.55,1.24,50.00,0.37
Mg7,Murgul,1,1.10,2.40,30.30,0.80,0.55,1.33,50.00,0.38
Ru1,Reocin-UG,1,1.13,5.00,39.47,1.93,0.31,2.00,45.00,0.64
Ru2,Reocin-UG,1,1.20,6.00,32.89,3.67,0.30,2.00,45.00,0.54
Ru3,Reocin-UG,1,1.20,6.00,32.89,3.70,0.30,2.00,45.00,0.51
Ru4,Reocin-UG,1,1.20,6.00,32.89,4.67,0.22,2.00,45.00,0.64
Ru5,Reocin-UG,1,1.20,6.00,32.89,3.11,0.35,2.00,45.00,0.54
Ru6,Reocin-UG,1,1.20,6.00,32.89,3.22,0.34,2.00,45.00,0.69
Mr1,Mrica,2,1.20,6.00,32.89,0.80,0.49,1.67,32.00,0.17
Mr2,Mrica,2,1.20,6.00,32.89,0.80,0.51,1.67,32.00,0.17
Mr3,Mrica,2,1.20,6.00,32.89,0.80,0.49,1.67,32.00,0.13
Mr4,Mrica,2,1.20,6.00,32.89,0.80,0.52,1.67,32.00,0.17
Mr5,Mrica,2,1.20,6.00,32.89,0.80,0.42,1.67,32.00,0.13
Mr6,Mrica,2,1.40,6.00,32.89,0.80,0.36,1.67,32.00,0.15
Mr7,Mrica,2,1.20,6.00,32.89,0.60,0.56,1.03,32.00,0.18
Mr8,Mrica,2,1.40,6.00,32.89,0.60,0.30,1.03,32.00,0.19
Mr9,Mrica,2,1.40,6.00,32.89,0.60,0.35,1.03,32.00,0.16
Mr10,Mrica,2,1.16,5.00,39.47,0.50,0.39,1.03,32.00,0.17
Mr11,Mrica,2,1.16,5.00,39.47,0.50,0.32,1.03,32.00,0.21
Db1,Dongri-Buzurg,2,1.25,3.50,20.00,1.75,0.73,1.00,9.57,0.44
Db2,Dongri-Buzurg,2,1.25,5.10,20.00,1.75,0.70,1.00,9.57,0.76
Db3,Dongri-Buzurg,2,1.38,3.00,20.00,1.75,0.62,1.00,9.57,0.35
Db4,Dongri-Buzurg,2,1.50,5.50,20.00,1.75,0.56,1.00,9.57,0.55
Db5,Dongri-Buzurg,2,1.75,4.75,20.00,1.75,0.39,1.00,9.57,0.35
Db6,Dongri-Buzurg,2,1.25,4.75,20.00,1.75,0.33,1.00,9.57,0.23
Db7,Dongri-Buzurg,2,1.25,5.00,20.00,1.75,0.44,1.00,9.57,0.40
Db8,Dongri-Buzurg,2,1.20,2.40,25.00,1.40,0.28,0.50,9.57,0.35
Db9,Dongri-Buzurg,2,1.40,3.20,25.00,1.40,0.31,0.50,9.57,0.29
Mi1,Miami,2,1.00,2.50,22.22,1.69,0.71,0.17,10.00,0.10
Mi2,Miami,2,1.00,1.67,33.33,0.72,0.46,0.10,10.00,0.09
Mi3,Miami,2,1.00,1.67,33.33,1.25,0.27,0.10,10.00,0.09
Mi4,Miami,2,1.00,1.67,33.33,0.70,0.47,0.10,10.00,0.08
Mi5,Miami,2,1.00,1.67,33.33,1.28,0.26,0.10,10.00,0.10
Mi6,Miami,2,1.00,2.50,22.22,1.69,0.71,0.02,10.00,0.02
Sm1,Soma,2,1.25,2.50,28.57,0.83,0.42,0.50,13.25,0.15
Sm2,Soma,2,1.25,2.50,28.57,0.83,0.42,0.50,13.25,0.19
Sm3,Soma,2,1.25,2.50,28.57,0.83,0.42,0.50,13.25,0.23
Sm4,Soma,2,1.25,2.50,28.57,0.83,0.42,1.50,13.25,0.22
Sm5,Soma,2,1.25,2.50,28.57,0.83,0.42,1.50,13.25,0.24
Sm6,Soma,2,1.25,2.50,28.57,0.83,0.42,1.50,13.25,0.26
Sm7,Soma,2,1.25,2.50,28.57,0.83,0.42,1.50,13.25,0.28
Ad1,Akdaglar,2,1.20,4.40,28.09,1.20,0.58,0.77,16.90,0.15
Ad2,Akdaglar,2,1.20,4.80,28.09,1.20,0.66,0.56,16.90,0.17
Ad3,Akdaglar,2,1.20,4.80,28.09,1.20,0.72,0.29,16.90,0.14
Ad4,Akdaglar,2,1.20,4.00,28.09,1.60,0.49,0.81,16.90,0.16
Ad5,Akdaglar,2,1.14,6.82,24.72,1.36,0.84,1.43,16.90,0.21
Ad6,Akdaglar,2,1.14,6.36,24.72,1.36,0.82,1.77,16.90,0.21
Ad7,Akdaglar,2,1.25,3.50,22.47,1.25,0.75,1.03,16.90,0.15
Ad8,Akdaglar,2,1.25,3.25,22.47,1.25,0.71,0.83,16.90,0.19
Ad9,Akdaglar,2,1.25,3.50,22.47,1.25,0.76,1.68,16.90,0.18
Ad10,Akdaglar,2,1.25,3.50,22.47,1.25,0.76,1.24,16.90,0.15
Ad11,Akdaglar,2,1.14,3.18,24.72,1.14,0.69,0.67,16.90,0.14
Ad12,Akdaglar,2,1.14,3.18,24.72,1.14,0.69,2.01,16.90,0.20
Ad13,Akdaglar,2,1.12,2.80,28.09,1.00,0.54,0.96,16.90,0.15
Ad14,Akdaglar,2,1.00,2.40,28.09,1.00,0.56,0.83,16.90,0.14
Ad15,Akdaglar,2,1.10,3.75,21.74,1.00,1.02,1.64,16.90,0.15
Ad16,Akdaglar,2,1.10,3.50,22.47,1.25,0.86,2.35,16.90,0.15
Ad17,Akdaglar,2,1.25,3.75,17.98,1.56,1.24,1.53,16.90,0.19
Ad18,Akdaglar,2,1.00,4.00,18.42,1.71,1.26,0.73,16.90,0.15
Ad19,Akdaglar,2,1.00,4.00,18.42,1.71,1.26,1.47,16.90,0.17
Ad20,Akdaglar,2,1.14,4.00,18.42,1.71,1.10,1.19,16.90,0.19
Ad21,Akdaglar,2,1.11,4.44,18.95,1.67,1.25,1.71,16.90,0.22
Ad22,Akdaglar,2,1.28,3.61,18.95,1.67,0.89,0.56,16.90,0.20
Oz1,Ozmert,2,1.00,2.83,33.71,1.00,0.48,0.45,15.00,0.27
Oz2,Ozmert,2,1.20,2.40,28.09,1.00,0.53,0.86,15.00,0.14
Oz3,Ozmert,2,1.20,2.40,28.09,1.00,0.53,0.44,15.00,0.14
Oz4,Ozmert,2,1.25,4.50,22.47,1.50,0.76,0.66,15.00,0.20
Oz5,Ozmert,2,1.11,3.33,30.34,1.11,0.47,0.47,15.00,0.17
Oz6,Ozmert,2,1.20,3.20,28.09,1.20,0.48,1.11,15.00,0.30
Oz7,Ozmert,2,1.20,2.40,28.09,1.00,0.53,0.88,15.00,0.12
